https://snl.no/kommuneinndelingen_i_Norge

Nr.	    Norsk.navn	Folketall	Landareal	Fylke

0301	Oslo	699 827	426	Oslo
3001	Halden	31 444	595	Viken
3002	Moss	50 290	128	Viken
3003	Sarpsborg	58 182	370	Viken
3004	Fredrikstad	83 892	284	Viken
3005	Drammen	102 273	305	Viken
3006	Kongsberg	27 879	754	Viken
3007	Ringerike	31 011	1 422	Viken
3011	Hvaler	4 741	90	Viken
3012	Aremark	1 315	282	Viken
3013	Marker	3 578	368	Viken
3014	Indre Østfold	45 608	755	Viken
3015	Skiptvet	3 846	93	Viken
3016	Rakkestad	8 312	421	Viken
3017	Råde	7 633	105	Viken
3018	Våler	5 913	239	Viken
3019	Vestby	18 699	134	Viken
3020	Nordre Follo	61 032	196	Viken
3021	Ås	20 780	101	Viken
3022	Frogn	16 084	85	Viken
3023	Nesodden	19 939	61	Viken
3024	Bærum	128 982	189	Viken
3025	Asker	96 088	364	Viken
3026	Aurskog-Høland	17 754	1 053	Viken
3027	Rælingen	19 024	56	Viken
3028	Enebakk	11 249	195	Viken
3029	Lørenskog	44 693	67	Viken
3030	Lillestrøm	89 095	410	Viken
3031	Nittedal	24 947	179	Viken
3032	Gjerdrum	6 989	82	Viken
3033	Ullensaker	41 565	250	Viken
3034	Nes	23 898	612	Viken
3035	Eidsvoll	26 716	386	Viken
3036	Nannestad	15 074	324	Viken
3037	Hurdal	2 905	261	Viken
3038	Hole	6 859	135	Viken
3039	Flå	1 057	671	Viken
3040	Nesbyen	3 273	772	Viken
3041	Gol	4 667	514	Viken
3042	Hemsedal	2 611	712	Viken
3043	Ål	4 650	1 081	Viken
3044	Hol	4 504	1 653	Viken
3045	Sigdal	3 492	811	Viken
3046	Krødsherad	2 189	340	Viken
3047	Modum	14 273	463	Viken
3048	Øvre Eiker	20 044	418	Viken
3049	Lier	27 584	282	Viken
3050	Flesberg	2 720	538	Viken
3051	Rollag	1 370	430	Viken
3052	Nore og Uvdal	2 455	2 266	Viken
3053	Jevnaker	6 908	194	Viken
3054	Lunner	9 144	272	Viken
3401	Kongsvinger	17 949	953	Innlandet
3403	Hamar	31 999	338	Innlandet
3405	Lillehammer	28 425	451	Innlandet
3407	Gjøvik	30 267	629	Innlandet
3411	Ringsaker	35 073	1 123	Innlandet
3412	Løten	7 715	362	Innlandet
3413	Stange	21 156	641	Innlandet
3414	Nord-Odal	5 016	475	Innlandet
3415	Sør-Odal	7 978	479	Innlandet
3416	Eidskog	6 032	603	Innlandet
3417	Grue	4 548	778	Innlandet
3418	Åsnes	7 211	1 004	Innlandet
3419	Våler	3 597	678	Innlandet
3420	Elverum	21 435	1 209	Innlandet
3421	Trysil	6 603	2 941	Innlandet
3422	Åmot	4 195	1 293	Innlandet
3423	Stor-Elvdal	2 318	2 127	Innlandet
3424	Rendalen	1 722	3 061	Innlandet
3425	Engerdal	1 253	1 916	Innlandet
3426	Tolga	1 551	1 097	Innlandet
3427	Tynset	5 581	1 823	Innlandet
3428	Alvdal	2 445	919	Innlandet
3429	Folldal	1 530	1 260	Innlandet
3430	Os	1 855	1 007	Innlandet
3431	Dovre	2 498	1 349	Innlandet
3432	Lesja	1 986	2 169	Innlandet
3433	Skjåk	2 151	1 967	Innlandet
3434	Lom	2 211	1 887	Innlandet
3435	Vågå	3 591	1 252	Innlandet
3436	Nord-Fron	5 628	1 092	Innlandet
3437	Sel	5 531	888	Innlandet
3438	Sør-Fron	3 064	712	Innlandet
3439	Ringebu	4 385	1 221	Innlandet
3440	Øyer	5 082	616	Innlandet
3441	Gausdal	6 079	1 146	Innlandet
3442	Østre Toten	14 827	485	Innlandet
3443	Vestre Toten	13 572	232	Innlandet
3446	Gran	13 633	657	Innlandet
3447	Søndre Land	5 535	659	Innlandet
3448	Nordre Land	6 577	920	Innlandet
3449	Sør-Aurdal	2 889	1 068	Innlandet
3450	Etnedal	1 256	443	Innlandet
3451	Nord-Aurdal	6 354	849	Innlandet
3452	Vestre Slidre	2 111	415	Innlandet
3453	Øystre Slidre	3 252	886	Innlandet
3454	Vang	1 587	1 310	Innlandet
3801	Horten	27 502	69	Vestfold og Telemark
3802	Holmestrand	25 681	412	Vestfold og Telemark
3803	Tønsberg	57 794	326	Vestfold og Telemark
3804	Sandefjord	64 943	414	Vestfold og Telemark
3805	Larvik	47 777	771	Vestfold og Telemark
3806	Porsgrunn	36 624	161	Vestfold og Telemark
3807	Skien	55 513	719	Vestfold og Telemark
3808	Notodden	13 029	912	Vestfold og Telemark
3811	Færder	27 165	100	Vestfold og Telemark
3812	Siljan	2 349	202	Vestfold og Telemark
3813	Bamble	14 056	282	Vestfold og Telemark
3814	Kragerø	10 351	289	Vestfold og Telemark
3815	Drangedal	4 093	995	Vestfold og Telemark
3816	Nome	6 494	385	Vestfold og Telemark
3817	Midt-Telemark	10 539	487	Vestfold og Telemark
3818	Tinn	5 512	1 848	Vestfold og Telemark
3819	Hjartdal	1 562	737	Vestfold og Telemark
3820	Seljord	2 889	669	Vestfold og Telemark
3821	Kviteseid	2 452	623	Vestfold og Telemark
3822	Nissedal	1 414	786	Vestfold og Telemark
3823	Fyresdal	1 198	1 107	Vestfold og Telemark
3824	Tokke	2 140	905	Vestfold og Telemark
3825	Vinje	3 755	2 725	Vestfold og Telemark
4201	Risør	6 735	179	Agder
4202	Grimstad	24 017	272	Agder
4203	Arendal	45 509	255	Agder
4204	Kristiansand	113 737	610	Agder
4205	Lindesnes	23 147	883	Agder
4206	Farsund	9 622	252	Agder
4207	Flekkefjord	9 048	482	Agder
4211	Gjerstad	2 427	308	Agder
4212	Vegårshei	2 131	322	Agder
4213	Tvedestrand	6 115	204	Agder
4214	Froland	6 098	601	Agder
4215	Lillesand	11 279	180	Agder
4216	Birkenes	5 342	596	Agder
4217	Åmli	1 801	1 058	Agder
4218	Iveland	1 323	246	Agder
4219	Evje og Hornnes	3 653	549	Agder
4220	Bygland	1 134	1 150	Agder
4221	Valle	1 169	1 130	Agder
4222	Bykle	935	1 254	Agder
4223	Vennesla	15 123	362	Agder
4224	Åseral	912	797	Agder
4225	Lyngdal	10 480	606	Agder
4226	Hægebostad	1 704	424	Agder
4227	Kvinesdal	5 883	887	Agder
4228	Sirdal	1 810	1 373	Agder
1101	Eigersund	14 860	387	Rogaland
1103	Stavanger	144 699	257	Rogaland
1106	Haugesund	37 444	68	Rogaland
1108	Sandnes	81 305	944	Rogaland
1111	Sokndal	3 281	267	Rogaland
1112	Lund	3 178	354	Rogaland
1114	Bjerkreim	2 789	577	Rogaland
1119	Hå	19 296	248	Rogaland
1120	Klepp	20 163	102	Rogaland
1121	Time	19 353	171	Rogaland
1122	Gjesdal	12 131	558	Rogaland
1124	Sola	27 568	69	Rogaland
1127	Randaberg	11 454	24	Rogaland
1130	Strand	13 268	236	Rogaland
1133	Hjelmeland	2 534	948	Rogaland
1134	Suldal	3 784	1 583	Rogaland
1135	Sauda	4 525	508	Rogaland
1144	Kvitsøy	523	6	Rogaland
1145	Bokn	855	45	Rogaland
1146	Tysvær	11 283	400	Rogaland
1149	Karmøy	42 541	220	Rogaland
1151	Utsira	188	6	Rogaland
1160	Vindafjord	8 775	599	Rogaland
